kind,commentId,channelId,videoId,authorId,textOriginal,parentCommentId,likeCount,publishedAt,updatedAt
youtube#comment,1781382,14492,74288,2032536,"PLEASE LESBIAN FLAG I BEG YOU 

You would rock it",,0,2023-08-15 21:48:52+00:00,2023-08-15 21:48:52+00:00
youtube#comment,289571,14727,79618,3043229,Apply mashed potato juice and mixed it with curd,3198066,0,2023-10-02 13:08:22+00:00,2023-10-02 13:08:22+00:00
youtube#comment,569077,3314,51826,917006,69 missed calls from mars👽,,0,2024-05-31 12:03:12+00:00,2024-05-31 12:03:12+00:00
youtube#comment,2957962,5008,58298,1853470,Baaa,,0,2024-02-13 15:48:37+00:00,2024-02-13 15:48:37+00:00
youtube#comment,673093,21411,1265,2584166,you look like raven from phenomena raven no cap,,0,2020-02-15 22:28:44+00:00,2020-02-15 22:28:44+00:00
youtube#comment,1525723,18073,69091,1915402,American,,0,2023-01-17 12:50:08+00:00,2023-01-17 12:50:08+00:00
youtube#comment,3079259,2988,91785,885833,Sahi disha me ja ja raha india ka Future..,,0,2021-09-03 06:51:48+00:00,2021-09-03 06:51:48+00:00
youtube#comment,579871,45729,66477,2775194,❤❤❤❤❤❤❤❤❤❤,,0,2025-01-17 22:08:38+00:00,2025-01-17 22:08:38+00:00
youtube#comment,4596873,18670,88816,1040123,Love your videos. Thank you ❤❤❤,,1,2023-06-24 07:24:06+00:00,2023-06-24 07:24:06+00:00
youtube#comment,910365,25235,31185,1092265,India is  the best and  very beautiful 😍😍😍😍😍😍😍❤️❤️❤️❤️,,0,2025-02-27 14:49:22+00:00,2025-02-27 14:49:22+00:00
youtube#comment,779733,36205,72492,3158722,❤,,1,2023-04-11 07:02:06+00:00,2023-04-11 07:02:06+00:00
youtube#comment,1204214,33644,86518,1756840,This is so true. Skinny jeans always nipped me😭😭😭,,1,2023-06-16 15:14:54+00:00,2023-06-16 15:14:54+00:00
youtube#comment,957058,20162,75828,1548100,Dunia semakin aneh,,0,2023-04-28 04:13:47+00:00,2023-04-28 04:13:47+00:00
youtube#comment,4672340,29550,53751,1064748,I love korean and japanese makeup!,,0,2025-01-25 05:27:14+00:00,2025-01-25 05:27:14+00:00
youtube#comment,2797490,4776,57274,590651,Plz upload a vedio about your teeth transition,,0,2025-02-07 03:57:52+00:00,2025-02-07 03:57:52+00:00
youtube#comment,3439642,42058,80982,3499981,Why don’t you use wigs? Or is it just better to use ur natural hair?,,0,2025-01-24 18:31:34+00:00,2025-01-24 18:31:34+00:00
youtube#comment,1055950,41246,55292,785546,Love,,1,2022-05-08 07:01:29+00:00,2022-05-08 07:01:29+00:00
