Unnamed: 0.1,Unnamed: 0,commentId,channelId,videoId,authorId,textOriginal,parentCommentId,likeCount,publishedAt,updatedAt,duplicatedFlag,cleanedText,cleanedTextSentiment,predictedSpam,isSpam,is_english,relevance_score,negative,neutral,positive,correctedText,aspect,sentiment
0,0,3166243,41024,6217,26499,Good Information... Will  definitely try it... Thanks 😊,,0,2020-01-01 16:00:58+00:00,2020-01-01 16:00:58+00:00,0,good information definitely try thanks,good information definitely try thanks : smiling_face_with_smiling_eyes :,0.0,0,1,0.120976724,0.019711794,0.11281153,0.8674767,Good information definitely try thanks thanks.,['information'],['Positive']
1,2,0,10004,86296,164837,Yes but I am charged $8 to cover your free shipping. If you don’t have a rep. I would love you be yours,1888757.0,0,2020-01-04 07:53:24+00:00,2020-01-04 07:53:24+00:00,0,yes charged $ 8 cover free shipping not rep would love,yes charged $ 8 cover free shipping not rep would love,0.0,0,1,0.07398073,0.8556126,0.094974376,0.049413033,Yes charged $ 8 cover free shipping not rep would love love love love love love love love love love love love love love love love love love love love love love love love love love love love love love love love love love love love love love love love love love love love love love love love love love love love love love love love,['shipping'],['Positive']
2,4,1279533,5459,64449,882554,Very useful video,,2,2020-01-04 10:32:19+00:00,2020-01-04 10:32:19+00:00,0,useful video,useful video,0.0,0,1,0.116708085,0.032399356,0.22260408,0.74499655,useful video tutorials.,[],[]
3,5,2543589,32215,89804,1777705,Osm three hair colour,,2,2020-01-04 13:07:46+00:00,2020-01-04 13:07:46+00:00,0,osm three hair colour,osm three hair colour,0.0,0,1,0.5766984,0.19097477,0.34131357,0.46771166,osm three hair colour.,['hair colour'],['Negative']
4,10,3857384,48408,32889,2850201,Freshness Level 9999999999😍,,0,2020-01-04 14:22:11+00:00,2020-01-04 14:22:11+00:00,0,freshness level 99,freshness level 99 : smiling_face_with_heart-eyes :,0.0,0,1,0.18595307,0.0958516,0.11168731,0.7924611,Freshness level 99 Freshness level 99.,['Freshness level'],['Positive']
5,15,2878665,48408,32889,2006481,Ughh... so gorg 😍,,0,2020-01-04 14:54:30+00:00,2020-01-04 14:54:30+00:00,0,ughh gorg,ughh gorg : smiling_face_with_heart-eyes :,0.0,0,1,0.08323117,0.55382854,0.27002487,0.17614666,ughh gorg.,[],[]
6,16,3347023,32215,89804,2045675,How much bro,,1,2020-01-04 15:02:21+00:00,2020-01-04 15:02:21+00:00,0,much bro,much bro,0.0,0,1,0.13718894,0.44398,0.30503,0.25099003,Much Browardship!,['Browardship'],['Positive']
7,22,2740368,48408,32889,1496453,super galing 👍🏻👍🏻💓💓,,0,2020-01-04 22:17:08+00:00,2020-01-04 22:17:08+00:00,0,super galing,super galing : thumbs_up_light_skin_tone : :thumbs_up_light_skin_tone : :beating_heart : :beating_heart :,0.0,0,1,0.16984558,0.036382973,0.042176634,0.9214404,super galing.,[],[]
8,25,1847982,48408,32889,1405458,"Oh my god, your skiiiiin! 😭 Amazing! Great makeup tutorial as always! Thumbs up.",,1,2020-01-05 01:16:54+00:00,2020-01-05 01:16:54+00:00,0,oh god skiin amazing great makeup tutorial always thumb,oh god skiin : loudly_crying_face : amazing great makeup tutorial always thumb,0.0,0,1,0.34084064,0.009398151,0.012849077,0.9777528,oh god skiin amazing great makeup tutorial always thumbs up.,['makeup'],['Positive']
9,26,4283034,48408,32889,597756,superrr gandaa mamsh! grabe as in nakaka mesmerize! 😍🔥❤,,0,2020-01-05 01:18:28+00:00,2020-01-05 01:18:28+00:00,0,superr gandaa mamsh grabe nakaka mesmerize,superr gandaa mamsh grabe nakaka mesmerize : smiling_face_with_heart-eyes : :fire : :red_heart :,0.0,0,1,0.32203275,0.022970479,0.04044984,0.9365797,superr gandaa mamsh grabe nakaka mesmerizes superr gandaa mamsh grabe nakaka mesmerizes superr gandaa mamsh grabe nakaka mes,['superr gandaa'],['Neutral']
